,0,1,2
169,A28067-0,SimOpt_int_short_0,1.0
170,A28069-0,SimOpt_no_management_0,1.0
171,A29052-0,SimOpt_extensive_long_10,1.0
172,A29153-0,SimOpt_int_0,1.0
173,A30011-0,SimOpt_extensive_1,1.0
174,A30113-0,SimOpt_extensive_2,0.9232027196097549
175,A30113-0,SimOpt_int_short_1,0.0767972803902452
176,A30115-0,SimOpt_extensive_long_9,0.9999999999999999
177,A30166-0,SimOpt_int_short_0,1.0
178,A30242-1,SimOpt_extensive_long_0,1.0
179,A31188-0,SimOpt_extensive_18,1.0
180,A31255-2,SimOpt_int_short_0,1.0
181,A31257-0,SimOpt_extensive_0,1.0
182,A31258-0,SimOpt_no_management_0,1.0
183,A32171-0,SimOpt_extensive_0,1.0
184,A32172-0,SimOpt_extensive_14,1.0
185,A33055-0,SimOpt_extensive_2,0.9999999999999999
186,A33055-0,SimOpt_extensive_4,1.6867329806369672e-16
187,A33109-0,SimOpt_extensive_9,1.0
188,A33233-1,SimOpt_extensive_long_0,1.0
189,A34075-0,SimOpt_extensive_18,1.0
190,A34159-0,SimOpt_int_0,1.0
191,A34164-0,SimOpt_int_short_0,1.0
192,A34173-0,SimOpt_extensive_long_0,1.0
193,A34181-0,SimOpt_extensive_long_0,1.0000000000000002
194,A34202-0,SimOpt_extensive_0,1.0
195,A34243-0,SimOpt_extensive_18,1.0
196,A34251-0,SimOpt_int_short_0,1.0
197,A35071-0,SimOpt_no_management_0,1.0
198,A36021-0,SimOpt_extensive_2,1.0
199,A36119-0,SimOpt_no_management_0,1.0
200,A36123-0,SimOpt_extensive_long_0,1.0
201,A36163-0,SimOpt_extensive_0,1.122742209237222e-16
202,A36163-0,SimOpt_extensive_long_0,0.9999999999999999
203,A38012-1,SimOpt_no_management_0,1.0
204,A38066-0,SimOpt_extensive_0,0.9999999999999999
205,A38066-0,SimOpt_int_0,1.2221363365240332e-16
206,A38155-0,SimOpt_extensive_18,1.0
207,A38156-1,SimOpt_int_short_0,0.9999999999999999
208,A38156-1,SimOpt_multispecies_0,1.3177257070042117e-16
209,A38179-0,SimOpt_extensive_long_0,1.0
210,A38194-2,SimOpt_no_management_0,1.0
211,A38246-0,SimOpt_int_short_0,1.0
212,A39075-0,SimOpt_extensive_18,1.0
213,A39127-0,SimOpt_int_short_0,1.0
214,A39196-0,SimOpt_int_0,1.0
215,A39236-0,SimOpt_extensive_long_0,0.9999999999999999
216,A40068-0,SimOpt_int_short_0,1.0
217,A42041-0,SimOpt_extensive_long_18,1.0
218,A42156-0,SimOpt_extensive_0,1.6679885476930407e-16
219,A42156-0,SimOpt_int_0,0.9999999999999999
220,A42183-2,SimOpt_extensive_0,2.0327880753953213e-16
221,A42183-2,SimOpt_extensive_long_0,0.9999999999999999
222,A42207-1,SimOpt_int_short_0,1.0
223,A43039-0,SimOpt_extensive_long_0,1.0
224,A43079-1,SimOpt_extensive_long_0,1.0
225,A43133-0,SimOpt_extensive_9,1.0
226,A43141-0,SimOpt_extensive_2,1.0
227,A43156-0,SimOpt_extensive_long_0,0.9326386598436364
228,A43156-0,SimOpt_int_short_0,0.06736134015636361
229,A43163-0,SimOpt_extensive_long_18,1.0
230,A43165-1,SimOpt_extensive_0,1.0
231,A43201-0,SimOpt_extensive_long_0,1.0
232,A43227-1,SimOpt_extensive_0,1.0
233,A43231-1,SimOpt_int_0,1.0
234,A43241-0,SimOpt_int_short_0,1.0
235,A43254-0,SimOpt_extensive_long_18,1.0
