,0,1,2
412,B23102-0,SimOpt_int_short_0,1.0
413,B23192-0,SimOpt_int_0,0.2737155409952438
414,B23192-0,SimOpt_int_short_0,0.7262844590047562
415,B23239-0,SimOpt_int_short_0,1.0
416,B23241-0,SimOpt_extensive_long_18,1.0
417,B24063-0,SimOpt_extensive_long_0,1.0
418,B24164-0,SimOpt_extensive_0,0.9999999999999999
419,B24164-0,SimOpt_multispecies_0,1.3083131700143245e-16
420,B26153-0,SimOpt_no_management_0,1.0
421,B27096-0,SimOpt_int_0,1.0
422,B27105-0,SimOpt_int_0,0.9999999999999999
423,B27144-0,SimOpt_ccover_0,1.0
424,B27226-0,SimOpt_extensive_0,1.0
425,B27241-0,SimOpt_ccover_0,1.0
426,B27246-0,SimOpt_extensive_17,1.0
427,B29252-0,SimOpt_extensive_18,1.0
428,B30214-1,SimOpt_extensive_17,1.0
429,B31107-0,SimOpt_no_management_0,1.0
430,B31231-0,SimOpt_extensive_0,0.9999999999999999
431,B31231-0,SimOpt_no_management_0,2.014829391821267e-16
432,B32071-0,SimOpt_extensive_0,2.1879326888911434e-16
433,B32071-0,SimOpt_int_0,0.9999999999999999
434,B33047-0,SimOpt_multispecies_18,0.9999999999999999
435,B33146-0,SimOpt_no_management_0,1.0
436,B33148-0,SimOpt_no_management_0,1.0
437,B33159-0,SimOpt_multispecies_16,1.0
438,B33198-1,SimOpt_no_management_0,1.0
439,B33202-0,SimOpt_extensive_18,1.0
440,B33248-0,SimOpt_no_management_0,1.0
441,B36223-0,SimOpt_extensive_0,1.0
442,B38231-0,SimOpt_extensive_0,1.0
443,B39137-0,SimOpt_extensive_0,1.0
444,B39141-0,SimOpt_int_short_0,1.0
445,B39142-0,SimOpt_no_management_0,1.0
446,B39144-0,SimOpt_extensive_0,1.0
447,B39156-1,SimOpt_extensive_long_0,1.0
448,B41206-0,SimOpt_extensive_long_18,0.9999999999999999
449,B41207-0,SimOpt_extensive_0,1.0
450,B42192-1,SimOpt_int_short_0,1.0
451,B42194-0,SimOpt_no_management_0,1.0
452,B45099-0,SimOpt_extensive_long_0,1.0
453,B45148-0,SimOpt_int_0,1.0
454,B45149-0,SimOpt_extensive_0,1.0
455,B46028-0,SimOpt_int_short_0,0.8334368588366424
456,B46028-0,SimOpt_multispecies_0,0.16656314116335763
457,B46046-0,SimOpt_extensive_long_16,1.0
458,B46064-0,SimOpt_extensive_16,1.0
459,B46074-2,SimOpt_no_management_0,1.0
460,B46112-0,SimOpt_no_management_0,1.0
461,B46152-1,SimOpt_extensive_long_0,1.0
462,B46161-0,SimOpt_int_short_0,1.0
463,B46166-0,SimOpt_extensive_0,1.0
464,B46185-0,SimOpt_extensive_0,1.8417392019822021e-16
465,B46185-0,SimOpt_no_management_0,0.9999999999999999
466,B46195-1,SimOpt_extensive_1,1.0
467,B46214-0,SimOpt_extensive_0,1.0
468,B46219-0,SimOpt_no_management_0,1.0
469,B46224-0,SimOpt_int_0,1.0
470,B46225-1,SimOpt_extensive_long_0,1.0
471,B46242-0,SimOpt_int_short_0,1.0
472,B46245-1,SimOpt_int_short_0,1.0
473,B46245-2,SimOpt_int_short_0,1.0
474,B46251-1,SimOpt_int_short_0,1.0
475,B46257-0,SimOpt_extensive_long_0,1.0
476,B47101-0,SimOpt_int_17,1.0
477,B47117-0,SimOpt_extensive_long_16,1.0
478,B49043-1,SimOpt_extensive_0,0.9999999999999999
479,B49043-1,SimOpt_multispecies_0,1.539034554523408e-16
480,B49109-1,SimOpt_extensive_0,1.0
481,B50031-0,SimOpt_extensive_1,1.0
